ID;Iconography ;Motif represented;Technique ;Narrow juxtaposition;With overlap;Number of overlaps;Type of overlap;Phases involved;Cultural attribution;Decorative phase
PM.I.75;Non figurative;Disc;Paint;;Yes;1;Overlapping without consideration;1/1&2;Aurignacian-Gravettian ;1
PM.I.76;Non figurative;Disc;Paint;;Yes;1;Overlapping without consideration;1/1&2;Aurignacian-Gravettian ;1
PM.I.77;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.78;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.79;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.80;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1&2/1&3;Aurignacian-Gravettian ;1
PM.I.81;Non figurative;Stick;Paint;;Yes;1;Overlapping without consideration;1&3;Gravetto-solutrean ;3
PM.I.82;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.83;Zoomorph;Bison;Paint;;Yes;3;Overlapping without consideration;1&2/2&3;Gravetian ;2
PM.I.84;Fingerings;Fingerings;Paint;;Yes;1;Overlapping without consideration;2&3;Gravetto-solutrean ;3
PM.I.85;Zoomorph;Indeterminate;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.86;Dot;Dot;Paint;;Yes;1;Overlapping without consideration;2&3;Gravetto-solutrean ;3
PM.I.87;Non figurative;Stain;Paint;;Yes;1;Overlapping without consideration;2&3;Gravetto-solutrean ;3
PM.I.88;Line;Curved;Paint;;Yes;2;Overlapping without consideration;1&3/2&3;Gravetto-solutrean ;3
PM.I.89;Zoomorph;Possible bison;Paint;;Yes;3;Overlapping without consideration;1&2/2/2&3;Gravetian ;2
PM.I.90;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.91;Line;Straight;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.92;Non figurative;Stain;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.93;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.94;Line;Curved;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.95;Non figurative;Stain;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.96;Non figurative;Stain;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.97;Line;Straight;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.98;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.99;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.100;Line;Curved;Paint;Yes;;;;;Gravetian ;2
PM.I.101;Line;Curved;Paint;;Yes;1;Overlapping without consideration;2;Gravetian ;2
PM.I.102;Zoomorph;Bison;Paint;;Yes;9;Overlapping without consideration / Overlapping with assimilation;1&2/2/2&3/2&4;Gravetian ;2
PM.I.103;Line;Straight;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.104;Line;Straight;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.105;Line;Straight;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.106;Zoomorph;Hind;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.107;Zoomorph;Deer;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.108;Zoomorph;Deer;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.109;Fingerings;Fingerings;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.110;Line;Curved;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.111;Line;Straight;Engraved;;Yes;1;Overlapping without consideration;4;Lower Magdalenian ;4
PM.I.112;Line;Straight;Engraved;;Yes;1;Overlapping without consideration;4;Lower Magdalenian ;4
PM.I.113;Zoomorph;Bovid;Paint;;Yes;2;Overlapping without consideration;1&2/2;Gravetian ;2
PM.I.114;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.115;Zoomorph;Bison;Paint;;Yes;1;Overlapping without consideration;2;Gravetian ;2
PM.I.116;Dot;"
Row of stitches";Paint;;Yes;1;Overlapping without consideration;2&3;Gravetto-solutrean ;3
PM.I.117;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.118;Zoomorph;Bison;Paint;;Yes;1;Overlapping without consideration;1&2;Gravetian ;2
PM.I.119;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1&2;Aurignacian-Gravettian ;1
PM.I.120;Zoomorph;Bison;Paint;Yes;;;;;Gravetian ;2
PM.I.121;Non figurative;Stain;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.122;Zoomorph;Possible bison;Paint;;Yes;1;Overlapping without consideration;1&2;Gravetian ;2
PM.I.123;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.124;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1/1&2;Aurignacian-Gravettian ;1
PM.I.125;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.126;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1/1&2;Aurignacian-Gravettian ;1
PM.I.127;Zoomorph;Deer;Engraved;;Yes;2;Overlapping without consideration;1&4/2&4;Lower Magdalenian ;4
PM.I.128;Zoomorph;Bison;Paint;;Yes;2;Overlapping without consideration;1&2;Gravetian ;2
PM.I.129;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.130;Zoomorph;Indeterminate;Engraved;;Yes;1;Overlapping without consideration;1&4;Lower Magdalenian ;4
PM.I.131;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.132;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1&2;Aurignacian-Gravettian ;1
PM.I.133;Zoomorph;Bison;Paint;;Yes;1;Overlapping without consideration;2&4;Gravetian ;2
PM.I.134;Sign;Quadrangular;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.135;Dot;"
Row of stitches";Paint;;Yes;1;Overlapping without consideration;2&3;Gravetto-solutrean ;3
PM.I.136;Line;Curved;Engraved;;Yes;2;Overlapping without consideration;2&4/4;Lower Magdalenian ;4
