ID;Iconography ;Motif represented;Technique ;Narrow juxtaposition;With overlap;Number of overlaps;Type of overlap;Phases involved;Cultural attribution;Decorative phase
PM.I.286;Sign;Quadrangular;Paint;;Yes;2;Overlapping without consideration / Overlapping with integration;2&3/3&4;Gravetto-solutrean ;3
PM.I.287;Line;Curved;Paint;;Yes;1;Overlapping without consideration;3&4;Gravetto-solutrean ;3
PM.I.288;Zoomorph;Hind;Engraved;;Yes;1;Overlapping without consideration;3&4;Lower Magdalenian ;4
PM.I.289;Line;Straight;Paint;;Yes;1;Overlapping without consideration;2&3;Gravetto-solutrean ;3
PM.I.290;Line;Straight;Paint;;Yes;1;Overlapping without consideration;2&3;Gravetian ;2
PM.I.291;Line;Straight;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.292;Sign;Quadrangular;Paint;;Yes;3;Overlapping without consideration;2&4;Gravetian ;2
PM.I.293;Line;Straight;Paint;;Yes;1;Overlapping without consideration;3&4;Gravetto-solutrean ;3
PM.I.294;Line;Straight;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.295;Dot;Dots;Paint;Yes;;;;;Gravetian ;2
PM.I.296;Zoomorph;Deer;Engraved;;Yes;4;Overlapping without consideration;2&4/3&4/4;Lower Magdalenian ;4
PM.I.297;Line;Straight;Engraved;Yes;;;;;Lower Magdalenian ;4
